Current Commit,Parent Commit,Commit Date,Type,sqale_index_current,sqale_index_parent,lines_current,lines_parent,Seniority,Commit,lines,cumulative_lines,sqale_index,cumulative_sqale_index
f79d9a322c6008e5fada1453aebfb56afc316cc8,f2ec89691236b59f54f9cf41bccd79a5853af36c,2017-12-05 21:05:10+01:00,Normal,34968,34968,338440,338426,0,1.0,14,14,0,0
fc48047586a8f92262f55d9d2bfb976325844b23,f79d9a322c6008e5fada1453aebfb56afc316cc8,2017-12-05 21:11:20+01:00,Normal,34968,34968,338462,338440,0,2.0,22,36,0,0
78247b80a8cbf1ebfb7a54624de7dc92e1a1f888,770b9ea77fb5e39d616e62b54c06755e6d4f4d36,2017-12-19 05:08:10-10:00,Normal,34950,34950,338499,338502,13,3.0,-3,33,0,0
4420761ea9457d386b2000cf9df5b2f6f88f8f91,78247b80a8cbf1ebfb7a54624de7dc92e1a1f888,2017-12-19 19:54:58+01:00,Normal,34950,34950,338518,338499,13,4.0,19,52,0,0
fc9eec7bb7d5e3e6426bb612277bfcecb943e8ac,a7a36bb4d8ef7f03c2df9e3279c8f488ab3641d1,2017-12-20 11:05:27-05:00,Normal,34950,34950,338517,338518,14,5.0,-1,51,0,0
c8152137400b5932578cd1788b79560c9772e56b,038ea4f8593618cf0f408f15f756f2145de0d40e,2017-12-27 18:38:30+01:00,Normal,34943,34930,338710,338687,21,6.0,23,74,13,13
1d00923848d504c6132019492b8d5a6cdf8261db,c8152137400b5932578cd1788b79560c9772e56b,2017-12-27 19:47:14+01:00,Normal,34945,34943,338718,338710,21,7.0,8,82,2,15
83a36ac49a98d5d8801ed8428612e9a56aeb8699,058d112ed2635873d415661bdf0fcc8752ec37c9,2017-12-28 21:07:29+01:00,Normal,34957,34957,338814,338814,23,8.0,0,82,0,15
51a00749e9d1814acfb6bf8732ecd21f18944083,9bc4d90d1a8c4d1dee54115a0995a7b6fca8635b,2017-12-30 18:05:15+01:00,Normal,34993,34993,338842,338842,24,9.0,0,82,0,15
c86e9b5847bc2853fc6a3fcfbf8daa56786d3210,ab7f4c330629f24f006a35729ee0d758711312fa,2018-01-02 17:54:10-05:00,Normal,35045,35045,339057,339057,28,10.0,0,82,0,15
8f8a93a9ae49fa807348f9f456b6635c8ebc5d0c,777f216d555496798a1e65fd899b0f8a0349aeca,2018-01-06 18:50:54+01:00,Normal,35027,35027,339143,339102,31,11.0,41,123,0,15
7c81b28ebcaebbc2e5bbca9a73427d81166ce3dc,762bd34c3699875d315d478b3efb090155beb743,2018-01-07 14:28:41+01:00,Normal,35027,35027,339144,339144,32,12.0,0,123,0,15
385e6fb352f3cb80d2f72838e08372cb392aaa45,b17c1d53fd7875dd0e3ffcffbfdeff348834b9b0,2018-01-12 19:06:15-05:00,Normal,34998,35003,339191,339192,38,13.0,-1,122,-5,10
7fbb1bd00d8a3e9a834de83d36ebcbff15c18938,afd50a301996484816022c9595acd026ad51f40d,2018-01-19 08:55:29+01:00,Normal,35047,35047,339342,339342,44,14.0,0,122,0,10
aad1833fa05eb3376dc614de4a17c82f5635f36c,37c17846ad6b02c6dca72e8087a279cca04a0c27,2018-01-20 20:48:01+01:00,Normal,35077,35077,339625,339584,45,15.0,41,163,0,10
950171d7b20a148a964281aed16aff3d2c734ab4,ff05de760cc4ef4c7f188e163c722ec3bc1f0cbf,2018-01-23 08:53:45-05:00,Normal,35077,35077,339614,339625,48,16.0,-11,152,0,10
b002a032f90b8cd228cfcee6c88cd238a8191cc0,3187c89d6f8c60ca7e78093d5b37e0709e71cea9,2018-01-27 11:12:11+01:00,Normal,35104,35104,339793,339762,52,17.0,31,183,0,10
f73f821143d5934780e3b76f90ff9a7110c509f7,92fe161e699e1d4e8377a7d6c0130f368f245a2f,2018-01-31 20:02:45-05:00,Normal,35110,35110,339975,339989,57,18.0,-14,169,0,10
9bcf73d788866bc93f8248cb2e9d601ecbc4b50c,9cd313fc2e1282c9e40df62c89825eb7796988b2,2018-02-01 09:29:46+01:00,Normal,35110,35110,339960,339975,57,19.0,-15,154,0,10
75e45a45e7d08bd26d9d97c6359654b5cbe6a77e,16c5a334ff3ad9d8b3cd1314562c7af20a2a7c7d,2018-02-02 08:47:32+01:00,Normal,35100,35110,339888,339983,58,20.0,-95,59,-10,0
34b52f85720280572c9e8fd2869f3485a367899b,47268242b071895dd269d97540e45dce646f675c,2018-02-07 08:27:47+01:00,Normal,35122,35122,340114,340113,63,21.0,1,60,0,0
61596f40ad42f5c96aafd10b8585b8ba5643c0cf,8116e588dbdd17171a322da589b691bdf01f7041,2018-02-26 08:54:55-05:00,Normal,35281,35281,341210,341212,82,22.0,-2,58,0,0
074a2f7f58cfab807ae72b09e634cad30a895369,5b589a47b9ac2c8bdd13ba837fea37991a1457b9,2018-02-26 18:23:31+01:00,Normal,35281,35281,341197,341212,82,23.0,-15,43,0,0
54f80430be4a9adf1fc00b4ca17547415fafc69b,3fb718f17d0684a2eabcf4af722e84ac4608c76f,2018-02-28 18:05:23+01:00,Normal,35281,35281,341511,341488,84,24.0,23,66,0,0
8b25d546b6113bd8db7e3627939d107ebd834fff,f0d6f01fbe171f4599fd13e34ccff0a5af653e90,2018-03-07 14:04:17-05:00,Normal,35281,35281,341543,341564,91,25.0,-21,45,0,0
c3a1337dfaa90baa58f0ecd647a595f7c57eb772,25b97ee1702e8950de9b9cc6fc551485b385cf0f,2018-03-12 11:22:57-04:00,Normal,35277,35277,341580,341580,96,26.0,0,45,0,0
acfc650f2a6e4a79e80237eabfa923ea3a05d709,22bcd3a1d88add6e4cf2c4451ede8d1ae142dedd,2018-03-13 19:06:40+01:00,Normal,35277,35277,341618,341602,97,27.0,16,61,0,0
feb683c4c2c5ecfb61e4cb490c3e357450c0c0e8,8f75984c263b89336cdf919c246a56ce49d07ddb,2018-03-14 10:00:07+01:00,Normal,35277,35277,341675,341657,98,28.0,18,79,0,0
