Current Commit,Parent Commit,Commit Date,Type,sqale_index_current,sqale_index_parent,lines_current,lines_parent,Seniority,Commit,lines,cumulative_lines,sqale_index,cumulative_sqale_index
c3e0adcad8d8ba94b33cabd137056166ed36dae0,d6859a14891f028dde8c6d27fb2960ef9984a072,2017-12-01 19:07:46-05:00,Normal,34937,34919,338229,338127,0,1.0,102,102,18,18
474bd7a5d4b0b47eeedc03ad471ae9e630e95258,cf12257db23fa248c89a3da3f718aa01a50ca659,2017-12-01 21:57:05-05:00,Normal,34938,34938,338246,338244,0,2.0,2,104,0,18
81057645f61fe545f4f11737dbd3040043ed2436,095c1aaa898bed40568009db836aa8434f1b983d,2017-12-01 22:14:32-05:00,Normal,34959,34938,338420,338396,0,3.0,24,128,21,39
335aad5d9170b3e3807ebd35a7dd74800df03588,81057645f61fe545f4f11737dbd3040043ed2436,2017-12-02 08:55:33-05:00,Normal,34959,34959,338420,338420,0,4.0,0,128,0,39
7664fe275910bb31fcca2d54844bedde19fc4ed9,335aad5d9170b3e3807ebd35a7dd74800df03588,2017-12-02 09:54:31-05:00,Normal,34959,34959,338420,338420,0,5.0,0,128,0,39
450c933fff2b180825dc2c7c1289380431479695,7664fe275910bb31fcca2d54844bedde19fc4ed9,2017-12-02 10:41:35-05:00,Normal,34959,34959,338420,338420,0,6.0,0,128,0,39
dfeb19121b40cadd22b81c4b9d0373d617a695ed,3cc08f4b2ba6fe7931cf551676fa86a4966987e4,2017-12-05 10:54:33-05:00,Normal,34968,34968,338419,338419,3,7.0,0,128,0,39
bae365e13c38f0e33b9f00453768de2aac6c727e,fc48047586a8f92262f55d9d2bfb976325844b23,2017-12-06 09:16:32-05:00,Normal,34968,34968,338462,338462,4,8.0,0,128,0,39
4114b441ee63e5e9196f20beee5cb071d1a21b3b,bae365e13c38f0e33b9f00453768de2aac6c727e,2017-12-06 09:23:42-05:00,Normal,34968,34968,338462,338462,4,9.0,0,128,0,39
a862af383969ade774f6b0fa1d331bc87b188b89,183fb7b2b9778f7d7cc91f5a7e5afec61b85179e,2017-12-06 17:17:59-05:00,Normal,34964,34964,338497,338497,4,10.0,0,128,0,39
02d9419fe34eaa4d41d8a8df93373f286a36a2ae,c6864a01b25591d3a709da8071413b69c9e35341,2017-12-07 17:12:00-05:00,Normal,34955,34965,338505,338509,5,11.0,-4,124,-10,29
2b81faab257832d3dbd42947a884f7ec99685d18,02d9419fe34eaa4d41d8a8df93373f286a36a2ae,2017-12-07 17:13:07-05:00,Normal,34955,34955,338502,338505,5,12.0,-3,121,0,29
770b9ea77fb5e39d616e62b54c06755e6d4f4d36,1ef8b30abed6ecf0c28517001e7fd8a84e6e47d3,2017-12-18 10:37:43-10:00,Normal,34950,34950,338502,338502,16,13.0,0,121,0,29
e7b804c060a1f9fc089cf935801aa85b09db062b,c8a85e3e91bf829671b4a8cbd105fbabce945174,2017-12-20 14:38:06-05:00,Normal,34956,34950,338553,338525,18,14.0,28,149,6,35
04d1454350dc92a68ef315ce8ed4d0a0482c587e,e7b804c060a1f9fc089cf935801aa85b09db062b,2017-12-20 14:52:20-05:00,Normal,34956,34956,338554,338553,18,15.0,1,150,0,35
0fc4b1f31f3cf7788e38a3d53f32254d340f50e8,b730973fff14f4e0184f5522eaf9f5e64891d431,2017-12-26 10:21:05-05:00,Normal,34955,34955,338719,338719,24,16.0,0,150,0,35
6deaddcca367d0143c815aaa42342021baa3b41e,0fc4b1f31f3cf7788e38a3d53f32254d340f50e8,2017-12-26 10:21:05-05:00,Normal,34955,34955,338719,338719,24,17.0,0,150,0,35
8dbaeb61389d9a04394e9191cb27bf8faf72642f,e67733aa65c727fb378c34e79272c9b12bd33762,2017-12-26 10:21:05-05:00,Normal,34955,34955,338719,338719,24,18.0,0,150,0,35
b730973fff14f4e0184f5522eaf9f5e64891d431,8dbaeb61389d9a04394e9191cb27bf8faf72642f,2017-12-26 10:21:05-05:00,Normal,34955,34955,338719,338719,24,19.0,0,150,0,35
038ea4f8593618cf0f408f15f756f2145de0d40e,ae1baa7d1d7fcb823e71ce9cb7c17de47ab2ff5e,2017-12-27 12:23:44-05:00,Normal,34930,34930,338687,338687,25,20.0,0,150,0,35
058d112ed2635873d415661bdf0fcc8752ec37c9,47aba5ed1fca234a43b0088009e5b9d891a029c7,2017-12-28 14:57:06-05:00,Normal,34957,34957,338814,338816,26,21.0,-2,148,0,35
46d1af2e82c2b2a6976397719afde33b5cff2498,83a36ac49a98d5d8801ed8428612e9a56aeb8699,2017-12-28 17:17:47-05:00,Normal,34949,34957,338734,338814,26,22.0,-80,68,-8,27
