Current Commit,Parent Commit,Commit Date,Type,sqale_index_current,sqale_index_parent,lines_current,lines_parent,Seniority,Commit,lines,cumulative_lines,sqale_index,cumulative_sqale_index
e363f2e67544e210e92acc06a5af90d91c0aa684,24c8381de281576deeaacf6ba1b46271767594d8,2015-02-24 06:51:24+00:00,Normal,3428.0,3428.0,67145.0,67128.0,0,1.0,17.0,17.0,0.0,0.0
4bc5c66fe12a2dc5d8fe9ed5878da5dea2444442,4e5bc1d5356e860be316656fd8c3393c468d24b6,2015-03-01 20:26:21-08:00,Normal,3420.0,3420.0,67852.0,67825.0,5,2.0,27.0,44.0,0.0,0.0
b8c9257fb1dc70cd65a14cb7dec62455ea54e394,f84bd771d4daa5753ad6a4b7e1a0c3cc9f51d33f,2015-03-02 15:26:00-08:00,Normal,3422.0,3420.0,67876.0,67853.0,6,3.0,23.0,67.0,2.0,2.0
afe5d7d209a4088d71e35d6382e6523b89f94ebe,2f4656b5c7e2a9b351237432e76a7b928a1684b1,2015-03-03 11:14:31+01:00,Normal,3431.0,3426.0,68852.0,68354.0,7,4.0,498.0,565.0,5.0,7.0
2088cee935e47b569f0c79b10dcb2c506b666af3,abc69c890513fb58c1ceae7548f4fbcc221b7c34,2015-03-03 15:57:28-08:00,Normal,3426.0,3426.0,68367.0,68371.0,7,5.0,-4.0,561.0,0.0,7.0
6ddd45948f35dd6a3e04fbaf95d9f6935b4cbbc1,63178a9509f72eb7adf1c73c2fc6dc1ec0a1ea42,2015-03-04 22:31:28+00:00,Normal,3453.0,3453.0,69197.0,69191.0,8,6.0,6.0,567.0,0.0,7.0
f12ec5f4e80bee7690a2ec72cd65e72e62b21a18,6296f65d6560e7b04231cdbd53e3b5769397a9a7,2015-03-05 08:23:38-08:00,Normal,3463.0,3453.0,69452.0,69272.0,9,7.0,180.0,747.0,10.0,17.0
7e204cf389346d23e71bc4c2fa9e14cf82a7ed2e,8b53d9efe648f10e0572c2d8017489d0d3bb4755,2015-03-06 06:54:00-08:00,Normal,3496.0,3463.0,70165.0,69452.0,10,8.0,713.0,1460.0,33.0,50.0
ad14ed5e49a956511ae8f4d3bf377457fdb1075d,76802012e62a70bd040ec5cb8efa7e357dda0eee,2015-03-06 08:31:49-08:00,Normal,3496.0,3496.0,70235.0,70165.0,10,9.0,70.0,1530.0,0.0,50.0
b26ab0ceeb60723b8a75078c4d49ed99c9ea3866,21c99e6a7797edb6a857e90c83fee3e5f1051adc,2015-03-09 21:43:54-07:00,Normal,3538.0,3530.0,71108.0,71065.0,13,10.0,43.0,1573.0,8.0,58.0
4218a2bfcf7a3f864268c3eafe8ead28bb7808d8,332413d7c4003c3718f8d91c54d7f3410710a5f9,2015-03-10 08:11:20-07:00,Normal,3538.0,3538.0,71131.0,71096.0,14,11.0,35.0,1608.0,0.0,58.0
1fec4eff361fed0fecd2928ef83d928fab5e1976,63178a9509f72eb7adf1c73c2fc6dc1ec0a1ea42,2015-03-10 16:06:58+00:00,Normal,3453.0,3453.0,69191.0,69191.0,14,12.0,0.0,1608.0,0.0,58.0
affb5b3ff48f9037349eac77f86adb7c946663ce,12f1a42eccb8c11031ee84157ed5dc6ce0bf23cc,2015-03-13 07:48:35-07:00,Normal,3678.0,3678.0,71626.0,71626.0,17,13.0,0.0,1608.0,0.0,58.0
055457360c6316e9a10dfc8ee18ef8c87655d8ad,bacb05c554dfa8781c53c1db7a4f9a706e33fd50,2015-03-16 09:33:18-07:00,Normal,3678.0,3678.0,71692.0,71692.0,20,14.0,0.0,1608.0,0.0,58.0
37973ef61b9c4dc8624bce79441113b35fa28e8e,b3c226765e8bb677c2630f6915336cf0e817b75d,2015-03-16 09:39:43-07:00,Normal,3678.0,3678.0,71692.0,71692.0,20,15.0,0.0,1608.0,0.0,58.0
93e321e7c8e6c83f2b58098c514e148d8d70f79f,37973ef61b9c4dc8624bce79441113b35fa28e8e,2015-03-16 09:46:23-07:00,Normal,3678.0,3678.0,71692.0,71692.0,20,16.0,0.0,1608.0,0.0,58.0
fad71576f91beb4aae8e8482465a696cdfc3b222,6c1074e302fd77e87c454cede145dd92f15d0c55,2015-03-19 07:07:30-07:00,Normal,3721.0,3703.0,71867.0,71717.0,23,17.0,150.0,1758.0,18.0,76.0
83d552d50d5485950052a8b9fcba384b81f33c43,6c1074e302fd77e87c454cede145dd92f15d0c55,2015-03-19 14:37:35-07:00,Normal,3703.0,3703.0,71743.0,71717.0,23,18.0,26.0,1784.0,0.0,76.0
