Current Commit,Parent Commit,Commit Date,Type,sqale_index_current,sqale_index_parent,lines_current,lines_parent,Seniority,Commit,lines,cumulative_lines,sqale_index,cumulative_sqale_index
c91584ff21e221201416b04a48331b253077a3d3,129e76bf32baf96e9e702606029148e5fa2aa81b,2012-07-05 15:36:02-04:00,Normal,49663.0,49663.0,281917.0,281893.0,0,1.0,24.0,24.0,0.0,0.0
0d5a13255db5ed2134359f7b0bbb8e36525ad03e,129e76bf32baf96e9e702606029148e5fa2aa81b,2012-07-05 19:00:11-04:00,Normal,49663.0,49663.0,281899.0,281893.0,0,2.0,6.0,30.0,0.0,0.0
d3152b90a24ae8f2b4aa2d224b6dab7277d88b02,0d5a13255db5ed2134359f7b0bbb8e36525ad03e,2012-07-05 19:06:22-04:00,Normal,49663.0,49663.0,281901.0,281899.0,0,3.0,2.0,32.0,0.0,0.0
cfc506b17b938ab7c62dcf640faea6dcb68fa45a,d3152b90a24ae8f2b4aa2d224b6dab7277d88b02,2012-07-05 19:08:25-04:00,Normal,49663.0,49663.0,281900.0,281901.0,0,4.0,-1.0,31.0,0.0,0.0
541347000a02ce307a97017d3d2f87cd93ecb09b,cfc506b17b938ab7c62dcf640faea6dcb68fa45a,2012-07-05 19:09:03-04:00,Normal,49663.0,49663.0,281900.0,281900.0,0,5.0,0.0,31.0,0.0,0.0
d66b2e527075f81330c928bc57df62e15e4737dd,c91584ff21e221201416b04a48331b253077a3d3,2012-07-06 16:06:47-04:00,Normal,49663.0,49663.0,281906.0,281917.0,1,6.0,-11.0,20.0,0.0,0.0
a83782c1b40d92042624265ebe70c3e035525efd,efd4acaf5ee4d010f397e989e0ae1f029f1d459b,2012-07-09 20:36:02-07:00,Merge,49633.0,,282059.0,,4,7.0,,,,
a83782c1b40d92042624265ebe70c3e035525efd,541347000a02ce307a97017d3d2f87cd93ecb09b,2012-07-09 20:36:02-07:00,Merge,49633.0,49663.0,282059.0,281900.0,4,7.0,159.0,,-30.0,
8e14051c18ff7077bc2c457a59fbff9c1e2aee9c,a83782c1b40d92042624265ebe70c3e035525efd,2012-07-10 00:39:50-03:00,Normal,49633.0,49633.0,282060.0,282059.0,4,8.0,1.0,,0.0,
3f8ea1923b37061ca6683d95ef8560dda099c4a5,8e14051c18ff7077bc2c457a59fbff9c1e2aee9c,2012-07-10 10:33:46-04:00,Normal,49633.0,49633.0,282060.0,282060.0,4,9.0,0.0,,0.0,
63b829a482431cdd4e4592ca78799412f4dead5a,3f8ea1923b37061ca6683d95ef8560dda099c4a5,2012-07-10 14:08:40-04:00,Normal,49633.0,49633.0,282060.0,282060.0,4,10.0,0.0,,0.0,
051b0016c4500b317c904b88eb6398b13538f218,63b829a482431cdd4e4592ca78799412f4dead5a,2012-07-10 14:10:41-04:00,Normal,49633.0,49633.0,282063.0,282060.0,4,11.0,3.0,,0.0,
ae3dac8afb6eef325958285b5a13bc933f5aacb6,d66b2e527075f81330c928bc57df62e15e4737dd,2012-07-10 14:52:20-04:00,Merge,,49663.0,,281906.0,4,12.0,,,,
ae3dac8afb6eef325958285b5a13bc933f5aacb6,051b0016c4500b317c904b88eb6398b13538f218,2012-07-10 14:52:20-04:00,Merge,,49633.0,,282063.0,4,12.0,,,,
788028fa7f9bb7f32a29c47b02f87ff9650ff009,051b0016c4500b317c904b88eb6398b13538f218,2012-07-10 11:58:12-07:00,Merge,49633.0,49633.0,282077.0,282063.0,4,13.0,14.0,,0.0,
788028fa7f9bb7f32a29c47b02f87ff9650ff009,ae3dac8afb6eef325958285b5a13bc933f5aacb6,2012-07-10 11:58:12-07:00,Merge,49633.0,,282077.0,,4,13.0,,,,
